instance_id,group,n,k,d,d_ub_known,seconds,cost_step,status,A_poly,B_poly
27cb6b2da7057287,Z7xZ12,168,4,12,34,10.35,1,ok,y^5 + x*y + x^2,x*y^11 + x^3*y^9 + x^4*y^4
2aa7ab4186bfa540,Z6xZ14,168,4,16,24,953.66,1,ok,y + x + x^2,y^3 + x*y^6 + x^2*y^7
2e090dda709c87ed,Z7xZ12,168,4,12,38,8.91,1,ok,y^2 + y^4 + x,x*y^8 + x^5*y + x^5*y^3
31497a7f60573546,Z6xZ14,168,4,10,24,1.73,1,ok,1 + x*y + x^2,y^9 + x^2*y^5 + x^4
34bc4df6f6263f0d,Z6xZ14,168,4,12,22,6.01,1,ok,y + x + x^2,x*y^13 + x^3*y^12 + x^5*y^11
386b45e745a6fd7c,Z7xZ12,168,4,12,34,4.25,1,ok,y + y^2 + x,y + x^3 + x^6*y^2
3c53350bdfd08fd8,Z6xZ14,168,4,4,28,0.07,1,ok,1 + x + x^2,y^8 + x*y^12 + x^2*y
3efc47529e9cfcc8,Z7xZ12,168,4,14,42,36.23,1,ok,y + y^2 + x,x^2*y^10 + x^3*y^2 + x^3*y^3
4246c62d1d25aad9,Z6xZ14,168,4,12,38,9.54,1,ok,y^2 + x*y + x^2,x^2*y^7 + x^3*y^5 + x^4*y^2
46b5937880e4f70d,Z7xZ12,168,4,14,38,46.06,1,ok,y^11 + x*y + x^2,y^2 + x^4*y^10 + x^6*y^9
487130eae47d04f1,Z6xZ14,168,4,14,30,43.86,1,ok,y + x + x^2,y^9 + x^4*y^8 + x^5*y^4
4b48f00d016d0a8b,Z7xZ12,168,4,10,32,1.64,1,ok,y^4 + x*y^2 + x^2,y^11 + x^2*y^3 + x^3*y^10
4f0a0b6c92e81784,Z7xZ12,168,4,12,22,4.91,1,ok,y^5 + y^7 + x,y^7 + x^3*y^5 + x^5*y^6
52e769aeda509c0d,Z6xZ14,168,4,14,20,39.32,1,ok,1 + x*y + x^2,y^13 + x^2*y^8 + x^4*y^2
55080161ddba6b7d,Z6xZ14,168,4,14,20,44.19,1,ok,y + x + x^2,y^10 + x*y^7 + x^2*y^8
571f0dc869cb5fe7,Z7xZ12,168,4,8,34,1.09,1,ok,y^11 + x*y + x^2,x^4*y^2 + x^5*y + x^6*y^3
59222b7578dc423f,Z6xZ14,168,4,12,24,7.02,1,ok,y^2 + x*y + x^2,y^4 + x*y + x^2*y^3
5a2c92da7094fd77,Z7xZ12,168,4,16,20,1354.77,1,ok,y + y^2 + x,x*y^3 + x^3*y^7 + x^4*y^8
5c73c2062a319ec4,Z7xZ12,168,4,14,30,65.78,1,ok,y^2 + x*y + x^2,1 + x^2*y + x^3*y^5
5ebffc4ef839277c,Z6xZ14,168,4,14,28,48.77,1,ok,y + x + x^2,x*y^9 + x^2*y^13 + x^3*y^6
626ad6360aff76c6,Z7xZ12,168,4,12,38,14.56,1,ok,y^2 + y^4 + x,y^8 + x^2*y^6 + x^4*y
66f523c013f39213,Z7xZ12,168,4,16,36,1323.92,1,ok,y^5 + y^7 + x,y + x*y^2 + x^2
6ab4e45301512763,Z6xZ14,168,4,16,28,973.98,1,ok,y + x + x^2,y^2 + x*y^12 + x^2*y^6
6db2aa6352e39e46,Z7xZ12,168,4,12,20,4.08,1,ok,y^5 + y^7 + x,y^10 + x^4 + x^6*y^2
7262e7ca7319d5ae,Z6xZ14,168,4,12,30,3.5,1,ok,y^4 + x*y + x^2,x^2*y^9 + x^3*y^4 + x^4*y^10
75be9cc1b3c66a94,Z6xZ14,168,4,8,20,0.66,1,ok,y^9 + x*y + x^2,x^2*y^6 + x^3*y^11 + x^4*y^10
7af912c3341cc1d4,Z7xZ12,168,4,12,32,3.81,1,ok,y^11 + x*y + x^2,y^8 + x^2*y^4 + x^3*y^9
7de77dc2779c9add,Z6xZ14,168,4,12,36,3.37,1,ok,y^2 + x + x^2,y + x*y^7 + x^2*y^2
7ed448c9e8f78221,Z7xZ12,168,4,8,28,0.49,1,ok,1 + y + y^5,y^11 + x*y^3 + x^2*y
347673480ca0443d,Z7xZ12,168,6,14,24,20.94,1,ok,y^2 + x*y + x^3,x*y^3 + x^5*y^9 + x^6*y^11
3b439f64cafa6760,Z7xZ12,168,6,14,20,22.64,1,ok,y^9 + x*y + x^3,x*y^2 + x^2 + x^4*y^10
42831c3164a119e5,Z6xZ14,168,6,8,22,0.72,1,ok,y^2 + y^3 + x,x^3*y + x^3*y^6 + x^5*y^9
4a5f59c10ddfdc23,Z6xZ14,168,6,12,24,7.57,1,ok,y^2 + y^3 + x,y^7 + x*y + x^3*y^5
518250beed349336,Z7xZ12,168,6,8,22,0.59,1,ok,y^3 + x*y + x^3,x*y^11 + x^5*y^5 + x^6*y^9
57a9bf8d1ddca0cf,Z6xZ14,168,6,12,28,4.31,1,ok,y + y^3 + x,x^2*y^10 + x^3*y^2 + x^3*y^5
5a15f71bb347469d,Z7xZ12,168,6,8,30,0.76,1,ok,y^6 + x + x^3,x^2*y^8 + x^3*y + x^5*y^2
60b27a55f5a54e3c,Z6xZ14,168,6,12,24,7.91,1,ok,y^2 + y^3 + x,x^2*y + x^4*y^5 + x^5*y^7
6372e664f6395bd1,Z7xZ12,168,6,4,36,0.04,1,ok,y + x + x^3,x^2*y^3 + x^3*y^2 + x^5*y^8
68ad268c5e520f53,Z6xZ14,168,6,12,20,5.21,1,ok,y^2 + y^3 + x,x*y^4 + x^2*y^13 + x^3
6e1544fa4a5552a3,Z7xZ12,168,6,12,36,5.06,1,ok,y^2 + x*y + x^3,x*y^9 + x^2 + x^4*y
74e6268db7539e67,Z7xZ12,168,6,8,34,0.4,1,ok,y^6 + x*y + x^3,x*y^10 + x^2*y^2 + x^4*y
7c0d551257ca4877,Z7xZ12,168,6,12,20,5.19,1,ok,y^6 + x*y + x^3,y^8 + x^4*y^6 + x^5*y^4
83699386115c4933,Z6xZ14,168,6,12,22,3.58,1,ok,y^2 + y^3 + x^2,x^2*y + x^3*y^6 + x^4*y^2
88102ad67bb8eec7,Z6xZ14,168,6,12,20,3.08,1,ok,y^2 + y^3 + x^2,x^2*y^3 + x^3*y + x^4*y^11
8db9e21b9cfbcefa,Z6xZ14,168,6,10,28,0.64,1,ok,y^2 + y^3 + x,x*y^10 + x^2*y^5 + x^4*y^6
27da29e7644bf012,Z7xZ12,168,4,8,32,0.62,1,ok,1 + y + y^5,y^6 + y^8 + x*y
2ac4f73ddbf86035,Z7xZ12,168,4,16,36,793.05,1,ok,y^11 + x*y + x^2,x*y^4 + x^3*y^11 + x^4*y^6
2e5140513db4d846,Z7xZ12,168,4,14,30,29.73,1,ok,y^2 + y^4 + x,y^3 + y^7 + x^2*y^8
324138d29f9dbaa3,Z7xZ12,168,4,16,30,1205.64,1,ok,y^2 + y^4 + x,x^3*y^9 + x^5*y + x^6*y^2
34d1fc4f1774a4e4,Z7xZ12,168,4,10,38,1.39,1,ok,y + y^2 + x,1 + x*y^2 + x*y^7
3944e2e98d3c13e7,Z6xZ14,168,4,4,28,0.1,1,ok,1 + x + x^2,x*y^4 + x^2*y^11 + x^3*y^2
3c976b9aaee024f8,Z6xZ14,168,4,14,32,37.55,1,ok,y^2 + x + x^2,y^7 + x*y^8 + x^2*y^6
3f06dcdf289554f9,Z6xZ14,168,4,14,20,41.4,1,ok,y^2 + x + x^2,y^9 + x^2*y^12 + x^4*y^6
424b185407b99a6b,Z6xZ14,168,4,16,28,1693.19,1,ok,y + x + x^2,x*y^4 + x^2*y^11 + x^3*y^2
46bb28515bcbf32e,Z7xZ12,168,4,8,20,2.04,1,ok,y + y^2 + x,x^5*y + x^5*y^9 + x^6*y^11
48dc7c094b7bcc9b,Z7xZ12,168,4,14,28,30.89,1,ok,y + y^2 + x,x^3*y^2 + x^6 + x^6*y^10
4b6551a2216d6b43,Z6xZ14,168,4,10,20,2.26,1,ok,y^2 + x*y + x^2,y^6 + x*y^4 + x^2
4f4d4b97482bf2a6,Z7xZ12,168,4,16,20,831.19,1,ok,y + y^2 + x,x*y^7 + x^5*y^2 + x^6*y^6
531f0aeb968e3bd5,Z7xZ12,168,4,12,32,2.97,1,ok,y^8 + x*y + x^2,x*y^6 + x^3*y^8 + x^4*y
551d72edfaad2c2a,Z7xZ12,168,4,16,34,648.57,1,ok,y + y^5 + x,x^2 + x^6*y^4 + x^6*y^5
5780e29b9015cb79,Z6xZ14,168,4,12,20,3.93,1,ok,y + x + x^2,y^3 + x^2*y^5 + x^4*y^4
592ae0df2f5daaed,Z7xZ12,168,4,14,18,42.68,1,ok,y^5 + x*y + x^2,1 + x*y^11 + x^5*y^7
5a2df1216bab4206,Z6xZ14,168,4,12,26,3.59,1,ok,y + x + x^2,x*y^10 + x^2*y^4 + x^3*y^9
5cacd8f2010d3740,Z6xZ14,168,4,4,34,0.03,1,ok,y^9 + x*y + x^2,x^2*y^7 + x^3*y^6 + x^4*y^8
