members: 2103, cells to run: 4206 (resumed past 82)
  25/4206 (1s)
  50/4206 (2s)
  75/4206 (4s)
  100/4206 (5s)
  125/4206 (6s)
  150/4206 (7s)
  175/4206 (9s)
  200/4206 (10s)
  225/4206 (11s)
  250/4206 (12s)
  275/4206 (13s)
  300/4206 (15s)
  325/4206 (16s)
  350/4206 (17s)
  375/4206 (18s)
  400/4206 (19s)
  425/4206 (21s)
  450/4206 (22s)
  475/4206 (24s)
  500/4206 (26s)
  525/4206 (28s)
  550/4206 (29s)
  575/4206 (31s)
  600/4206 (32s)
  625/4206 (33s)
  650/4206 (34s)
  675/4206 (35s)
  700/4206 (36s)
  725/4206 (38s)
  750/4206 (39s)
  775/4206 (40s)
  800/4206 (41s)
  825/4206 (42s)
  850/4206 (45s)
  875/4206 (47s)
  900/4206 (49s)
  925/4206 (51s)
  950/4206 (52s)
  975/4206 (54s)
  1000/4206 (55s)
  1025/4206 (57s)
  1050/4206 (58s)
  1075/4206 (60s)
  1100/4206 (61s)
  1125/4206 (62s)
  1150/4206 (64s)
  1175/4206 (66s)
  1200/4206 (67s)
  1225/4206 (68s)
  1250/4206 (70s)
  1275/4206 (72s)
  1300/4206 (74s)
  1325/4206 (77s)
  1350/4206 (79s)
  1375/4206 (81s)
  1400/4206 (82s)
  1425/4206 (83s)
  1450/4206 (86s)
  1475/4206 (88s)
  1500/4206 (89s)
  1525/4206 (91s)
  1550/4206 (94s)
  1575/4206 (96s)
  1600/4206 (98s)
  1625/4206 (99s)
  1650/4206 (100s)
  1675/4206 (101s)
  1700/4206 (103s)
  1725/4206 (104s)
  1750/4206 (105s)
  1775/4206 (106s)
  1800/4206 (107s)
  1825/4206 (109s)
  1850/4206 (110s)
  1875/4206 (111s)
  1900/4206 (112s)
  1925/4206 (114s)
  1950/4206 (115s)
  1975/4206 (116s)
  2000/4206 (117s)
  2025/4206 (119s)
  2050/4206 (120s)
  2075/4206 (121s)
  2100/4206 (122s)
  2125/4206 (123s)
  2150/4206 (125s)
  2175/4206 (126s)
  2200/4206 (128s)
  2225/4206 (129s)
  2250/4206 (130s)
  2275/4206 (131s)
  2300/4206 (133s)
  2325/4206 (134s)
  2350/4206 (135s)
  2375/4206 (137s)
  2400/4206 (138s)
  2425/4206 (140s)
  2450/4206 (142s)
  2475/4206 (143s)
  2500/4206 (145s)
  2525/4206 (146s)
  2550/4206 (147s)
  2575/4206 (149s)
  2600/4206 (150s)
  2625/4206 (151s)
  2650/4206 (153s)
  2675/4206 (154s)
  2700/4206 (156s)
  2725/4206 (157s)
  2750/4206 (158s)
  2775/4206 (160s)
  2800/4206 (161s)
  2825/4206 (162s)
  2850/4206 (163s)
  2875/4206 (165s)
  2900/4206 (167s)
  2925/4206 (169s)
  2950/4206 (170s)
  2975/4206 (171s)
  3000/4206 (172s)
  3025/4206 (174s)
  3050/4206 (175s)
  3075/4206 (176s)
  3100/4206 (177s)
  3125/4206 (179s)
  3150/4206 (180s)
  3175/4206 (182s)
  3200/4206 (183s)
  3225/4206 (184s)
  3250/4206 (185s)
  3275/4206 (186s)
  3300/4206 (187s)
  3325/4206 (188s)
  3350/4206 (190s)
  3375/4206 (191s)
  3400/4206 (192s)
  3425/4206 (193s)
  3450/4206 (194s)
  3475/4206 (195s)
  3500/4206 (196s)
  3525/4206 (197s)
  3550/4206 (199s)
  3575/4206 (200s)
  3600/4206 (201s)
  3625/4206 (202s)
  3650/4206 (203s)
  3675/4206 (205s)
  3700/4206 (206s)
  3725/4206 (208s)
  3750/4206 (209s)
  3775/4206 (210s)
  3800/4206 (211s)
  3825/4206 (212s)
  3850/4206 (213s)
  3875/4206 (214s)
  3900/4206 (215s)
  3925/4206 (216s)
  3950/4206 (217s)
  3975/4206 (218s)
  4000/4206 (219s)
  4025/4206 (221s)
  4050/4206 (222s)
  4075/4206 (223s)
  4100/4206 (225s)
  4125/4206 (226s)
  4150/4206 (227s)
  4175/4206 (228s)
  4200/4206 (230s)

verdict histogram (status, axis_odd):
  ('CHEAP-PASS', True): 4143
  ('CHEAP-REJECT', True): 46
  ('K-GATE-FAIL', True): 17
by frame/axis:
  ('Z5xZ15', 'x', 'CHEAP-PASS'): 2056
  ('Z5xZ15', 'x', 'CHEAP-REJECT'): 45
  ('Z5xZ15', 'x', 'K-GATE-FAIL'): 2
  ('Z5xZ15', 'y', 'CHEAP-PASS'): 2087
  ('Z5xZ15', 'y', 'CHEAP-REJECT'): 1
  ('Z5xZ15', 'y', 'K-GATE-FAIL'): 15
total 4206 cells in 232s -> /Users/stavanjain/Code/qec-lab/.claude/worktrees/distance-descent-theory-plan-e1fd17/experiments/bb_lab/data/a41/g3_tierd_screen.jsonl
