code,n,d,stock,step,step+prime,step+seed
bb_72,72,6,0.030491915997117758,0.029990541996085085,0.02589658299984876,0.022836000003735535
bb_90,90,10,0.7970939169899793,0.32979316600540187,0.4441679580049822,0.45940525000332855
bb_108,108,10,0.7055014159996063,0.41391349998593796,0.487349290997372,0.4829617500072345
gross,144,12,5.481394874994294,1.7996244160021888,1.988389250007458,3.5149206669884734
l150_d12,150,12,7.803656125004636,3.2236407500022324,3.423753166993265,3.3607652919890825
l168_d12,168,12,7.672996457986301,3.692099790991051,3.4355163750005886,4.1587224999966566
l168_d14a,168,14,39.42493037499662,16.33231270800752,16.374800000005052,21.147251207992667
l168_d14b,168,14,36.14369629099383,16.78389866699581,15.963044374992023,13.910025167002459
l168_d14c,168,14,34.5694135419908,16.66750066600798,13.206767291994765,16.831653917004587
l168_d14d,168,14,49.014153541997075,21.003120207999018,21.574678834003862,17.169642916996963
