instance_id,n,k,d_exact_known,d_ub_known,d_found,solver_seconds,status
cf2664aac573dc9e,150,8,12,20,12,5.3,ok
ead59e563530b24b,150,8,12,14,12,5.6,ok
1125d0a25ff25616,150,8,12,22,12,5.82,ok
386053d621d64e53,150,8,12,14,12,5.27,ok
8c1c6ad6a631bd9c,150,8,12,20,12,5.39,ok
76b20bd1b5b490c9,150,8,12,22,12,5.65,ok
5a9c81c512eadea7,150,8,10,18,10,1.37,ok
fdb2bcc44cc77a91,150,8,10,14,10,1.46,ok
b964ed38a2963620,150,8,10,12,10,1.15,ok
283d1016d4bb650a,180,16,10,22,10,1.85,ok
e89e15a9935c2844,180,16,10,20,10,1.94,ok
159e9e4e5514dad3,180,8,10,10,10,1.97,ok
c405c4667ece4dc0,180,8,10,10,10,1.82,ok
f6d2cf98c2af1069,210,12,2,2,2,0.01,ok
f529aeeebf5ef68c,210,12,2,2,2,0.01,ok
ce28685d7ade46f4,210,12,2,2,2,0.01,ok
23832fb7b41d3e2d,168,10,,12,8,0.7,ok
f6e7b3338b63c684,168,6,,12,12,7.22,ok
aeba3f554e1c3f7a,168,12,,12,8,0.31,ok
57f6e157fb79dfdc,168,6,,12,12,7.73,ok
ce6f3289b54105b5,168,6,,12,12,5.0,ok
65dadcf643632ebd,168,10,,12,8,0.55,ok
9d6faec50e95110e,168,6,,12,8,0.41,ok
7d218679e2e23378,168,6,,12,12,6.03,ok
e6cda960eb421bb6,168,4,,12,12,11.32,ok
a46f1dbfdf2c1a10,168,6,,12,12,5.27,ok
ed278894ed8d64c4,168,6,,12,8,0.64,ok
a14576101b26b549,168,8,,12,8,0.32,ok
628f9bfe885c9003,168,6,,12,12,9.02,ok
97f6fd4c4a80d483,168,18,,12,4,0.02,ok
957568076a7b4231,168,6,,12,8,0.58,ok
71ac8e53acb377dd,168,6,,12,12,7.1,ok
bbce84e165fe7427,168,10,,12,8,0.4,ok
9af95bac0df8e423,168,6,,12,8,0.33,ok
a8cbd55d41ab4ac1,168,6,,12,12,5.81,ok
e86e1a489bb7a1e6,168,6,,12,4,0.03,ok
27270300e9145135,168,6,,14,8,0.75,ok
22a64b71a851575d,168,8,,14,8,0.24,ok
b46255d435fb6314,168,4,,14,10,1.6,ok
df7271352633b3e1,168,8,,14,8,0.4,ok
54c841eceb2c479d,168,4,,14,12,8.12,ok
a335a9c816d4626d,168,4,,14,12,8.44,ok
ea4e7b62d7cd07d1,168,4,,14,10,1.47,ok
81fdf8e202aaa121,168,12,,14,4,0.05,ok
24413d6313c49539,168,6,,14,14,36.53,ok
2e81450272ba7b92,168,4,,14,14,34.49,ok
8ad0d721d845b1c1,168,4,,14,14,27.16,ok
2aef2d33cc3ad163,168,12,,14,6,0.07,ok
a15d340fca63569f,168,8,,14,8,0.43,ok
df13db9c059c9c0b,168,8,,14,6,0.08,ok
befb6773e6102de8,168,6,,14,8,1.89,ok
019b266f24340db0,168,6,,14,8,0.61,ok
702bf46042cdd18d,168,4,,14,6,0.08,ok
047df8382fbfcd55,168,8,,14,8,0.41,ok
0929c2bd0d18d231,168,6,,14,14,37.63,ok
3f14099869422d5a,168,4,,14,8,0.33,ok
955d4e14e933eecf,154,6,,16,12,3.31,ok
76eb7292184da95f,154,6,,16,10,0.77,ok
c8a0fd274665fca9,154,6,,16,12,2.92,ok
8465f2665ab32dd0,154,6,,16,12,4.67,ok
d2727fb710d72c59,154,6,,16,10,1.43,ok
ad73c1a5d75ec1cc,154,6,,16,10,1.53,ok
43870c24c93347ff,154,6,,16,12,4.31,ok
a0222179a8139c5f,154,6,,16,10,0.92,ok
e7fe782fd2484ce9,154,6,,16,14,16.16,ok
c62ecc09a0a441ac,154,6,,16,12,4.06,ok
36562b02fc55e291,154,6,,16,10,1.01,ok
517bdb4e68fc59ea,154,6,,16,10,0.75,ok
6f370b6420d0fac3,154,6,,16,14,19.21,ok
68e14f4d0649feb9,154,6,,16,10,1.27,ok
bc573297957c1c55,154,6,,16,8,0.41,ok
4f0ec4c8122f86a8,154,6,,18,14,17.24,ok
20f206cf1ab28235,154,6,,18,12,3.17,ok
4fc297f682cd3408,154,6,,18,8,0.42,ok
66fa652d5c0904cb,154,6,,18,8,0.47,ok
3a771f348b295ca0,154,6,,18,12,11.33,ok
808c0f38176e8537,154,6,,18,12,2.63,ok
1b78d976445ff0eb,154,6,,18,12,5.6,ok
4c1585d9250038d9,154,6,,18,10,0.94,ok
3fbf73825404d591,154,6,,18,14,15.94,ok
63c6244d3cf4e331,154,6,,18,12,4.14,ok
be91f6a08a6ba4c6,154,6,,18,12,3.82,ok
7dde5d488a3abe5f,154,6,,18,12,4.81,ok
5dc31b0df149980b,154,6,,18,10,0.66,ok
0df6fae45b9f303f,154,6,,18,8,0.39,ok
b1f7aba6d9c49956,154,6,,18,8,0.36,ok
