group,n,k,d,q,seconds,status,A_poly,B_poly
Z12xZ12,288,4,12,2.0,18.81,ok,x^2*y^6 + x^10*y^2 + x^11*y,x^7*y^10 + x^10*y^6 + x^10*y^8
Z12xZ12,288,4,16,3.556,4737.78,ok,y^6 + x^8 + x^9*y^11,x^2*y^5 + x^5*y^7 + x^9*y^7
Z12xZ12,288,4,8,0.889,0.98,ok,x*y^7 + x^5*y^10 + x^9*y^3,x*y^9 + x^2*y^8 + x^3*y^7
Z12xZ12,288,4,8,0.889,8.88,ok,x^2*y + x^5*y^6 + x^9*y^11,x^6*y^11 + x^7 + x^8*y
Z12xZ12,288,4,12,2.0,15.42,ok,x^2*y^2 + x^5*y + x^7*y^6,x^2*y^11 + x^5*y^6 + x^7*y^4
Z12xZ12,288,4,12,2.0,14.19,ok,x^2*y^3 + x^7*y^10 + x^8*y^5,y^10 + x^10*y^3 + x^10*y^11
Z12xZ12,288,4,12,2.0,16.64,ok,y^5 + x^3*y + x^11*y^8,x^3*y^4 + x^7*y + x^10*y^3
Z12xZ12,288,4,,,5400.07,timeout,x^3*y^10 + x^6*y^11 + x^7*y^2,y^8 + x^7*y^6 + x^10*y^8
Z12xZ12,288,4,,,5400.08,timeout,x*y^2 + x^6*y^2 + x^10*y^7,x^5*y + x^7*y^10 + x^11
Z12xZ12,288,4,12,2.0,13.72,ok,x^6*y^4 + x^10*y^6 + x^11*y^4,x^3*y^3 + x^5*y + x^7*y^2
Z12xZ12,288,4,,,5400.08,timeout,x*y^7 + x^9*y^4 + x^10*y^2,x^9*y^6 + x^9*y^11 + x^10
Z3xZ42,252,4,,,5400.06,timeout,y^33 + x*y^39 + x^2*y^18,x*y^15 + x*y^28 + x^2*y^4
Z3xZ42,252,4,18,5.143,5157.5,ok,y^24 + x*y^4 + x^2*y^5,y^9 + y^16 + x*y^13
Z3xZ42,252,4,6,0.571,0.09,ok,y^30 + x*y^35 + x^2*y^8,y^27 + x*y^21 + x^2*y^26
Z3xZ42,252,4,18,5.143,4559.58,ok,y^5 + x*y^32 + x*y^37,y^4 + x*y^33 + x^2*y^5
Z3xZ42,252,4,16,4.063,1228.56,ok,y^14 + y^28 + x^2*y^31,y^8 + y^21 + x*y^12
Z3xZ42,252,6,16,6.095,1713.12,ok,y^15 + y^28 + y^33,y^40 + x^2*y^27 + x^2*y^31
Z3xZ42,252,6,12,3.429,12.62,ok,y^9 + y^41 + x^2*y^35,y^7 + x*y^4 + x^2*y^26
Z3xZ42,252,6,12,3.429,11.61,ok,x*y^3 + x*y^23 + x^2*y^5,x^2*y^16 + x^2*y^34 + x^2*y^35
Z3xZ42,252,6,,,5400.03,timeout,y^13 + x*y^7 + x*y^9,x^2*y^20 + x^2*y^33 + x^2*y^36
Z3xZ42,252,6,12,3.429,7.18,ok,y + y^37 + x^2*y^11,y^7 + x*y^31 + x^2*y^36
Z3xZ42,252,6,6,0.857,0.15,ok,x*y^24 + x^2*y^11 + x^2*y^34,x*y^12 + x^2*y^27 + x^2*y^36
Z3xZ42,252,6,6,0.857,0.14,ok,y^7 + x*y^16 + x^2*y^20,y^17 + y^21 + x*y^8
Z3xZ42,252,6,18,7.714,3743.89,ok,y^7 + x^2*y^4 + x^2*y^6,x*y^21 + x^2*y^2 + x^2*y^10
Z3xZ42,252,6,16,6.095,1257.4,ok,y^34 + y^37 + x*y^36,x*y^8 + x*y^27 + x^2*y^37
Z3xZ42,252,6,12,3.429,16.99,ok,y^40 + x*y^27 + x^2*y^10,y^11 + y^16 + x^2*y^12
Z3xZ42,252,6,12,3.429,13.21,ok,y^17 + y^37 + x*y^12,x*y^8 + x^2*y^3 + x^2*y^21
Z3xZ42,252,6,12,3.429,9.81,ok,y^13 + y^23 + x,y^5 + x*y^41 + x^2*y^8
Z3xZ42,252,6,,,5400.02,timeout,y^16 + x^2*y^26 + x^2*y^31,y^21 + x*y^3 + x*y^22
Z5xZ21,210,6,12,4.114,11.74,ok,y^4 + y^7 + x*y^12,y^3 + x*y^4 + x^4*y^6
Z5xZ21,210,6,14,5.6,43.85,ok,x*y^3 + x*y^7 + x^2*y^16,y + x*y^5 + x^4*y^7
Z5xZ21,210,6,12,4.114,19.89,ok,x + x*y^9 + x*y^20,y^7 + x^2*y^6 + x^2*y^9
Z5xZ21,210,6,16,7.314,1328.2,ok,x*y^18 + x*y^20 + x^4*y^10,x*y^19 + x^2 + x^4*y^4
Z5xZ21,210,6,12,4.114,11.7,ok,x^2*y^9 + x^2*y^12 + x^3*y^17,x^2*y^4 + x^4*y + x^4*y^16
Z5xZ21,210,6,14,5.6,79.62,ok,x^2*y^10 + x^3*y^13 + x^4*y^19,x^2*y^17 + x^2*y^19 + x^3*y^13
Z5xZ21,210,6,14,5.6,69.89,ok,y^5 + x^2*y^4 + x^4*y^7,y^15 + y^17 + x^3
Z5xZ21,210,6,16,7.314,1010.76,ok,y^9 + x^3*y^7 + x^4*y^20,x^2*y^8 + x^2*y^13 + x^4*y^19
Z5xZ21,210,6,18,9.257,4165.11,ok,x^2*y^7 + x^3*y^19 + x^4*y^8,y^16 + x*y^12 + x^3*y^18
Z5xZ21,210,6,12,4.114,12.94,ok,1 + y^17 + x^3*y^9,y^9 + x*y^7 + x^3*y^10
Z5xZ21,210,6,16,7.314,753.42,ok,x^2*y^19 + x^3*y^8 + x^3*y^13,y^15 + x^2*y^5 + x^4*y^13
Z5xZ21,210,6,16,7.314,909.13,ok,x*y^14 + x^3*y^15 + x^4*y^3,x^3 + x^4*y^15 + x^4*y^17
Z5xZ21,210,6,18,9.257,3615.03,ok,y^3 + x + x^4*y^16,y^9 + x^3*y + x^4*y^13
