instance_id,group,n,k,d,q,d_ub_known,seconds,cost_step,status,A_poly,B_poly
1251d30b8bf553df,Z9xZ6,108,72,2,2.667,30,0.01,1,ok,1 + y^2 + y^4,1 + y^2 + y^4
90fc1858b8ffc0b1,Z9xZ6,108,72,2,2.667,30,0.01,1,ok,1 + x^3 + x^6,x*y + x^4*y + x^7*y
493848d99ae1f29f,Z9xZ6,108,48,2,1.778,22,0.01,1,ok,1 + y^2 + y^4,x*y^4 + x^4*y^2 + x^7
d8b1f8879dfa32a4,Z9xZ6,108,48,2,1.778,20,0.0,1,ok,1 + y^2 + y^4,1 + x^3 + x^6
1924535274e39fab,Z9xZ6,108,36,2,1.333,18,0.01,1,ok,1 + x^3 + x^6,y^3 + x^3*y^3 + x^6
576cc8779452b66a,Z9xZ6,108,36,2,1.333,20,0.01,1,ok,1 + y + y^2,x^3 + x^3*y + x^3*y^2
a6fac175c01bc555,Z9xZ6,108,36,2,1.333,20,0.01,1,ok,1 + y + y^2,x*y + x*y^2 + x*y^3
c169a38544fad697,Z9xZ6,108,36,2,1.333,18,0.0,1,ok,1 + y + y^2,y^3 + y^4 + y^5
f1c42f93728eda3e,Z9xZ6,108,36,2,1.333,18,0.01,1,ok,1 + x^3 + x^6,y^4 + x^3*y + x^6*y
06f94ecea9bec3e3,Z9xZ6,108,24,4,3.556,16,0.02,1,ok,1 + x + x^2,x^2 + x^4 + x^6
12f38e9acc573c44,Z9xZ6,108,24,2,0.889,12,0.0,1,ok,y^2 + y^4 + x^3,y^2 + y^4 + x^3
242db0029dd5bc2f,Z9xZ6,108,24,4,3.556,18,0.02,1,ok,1 + x + x^2,x*y^3 + x^5*y^3 + x^6*y^3
31e28c182461a9e6,Z9xZ6,108,24,2,0.889,12,0.01,1,ok,1 + y^2 + y^4,y^3 + y^5 + x^3*y
39dfad18df6031eb,Z9xZ6,108,24,2,0.889,12,0.0,1,ok,y^2 + y^4 + x^3,x^3*y + x^3*y^5 + x^6*y^3
4983a92449eeb187,Z9xZ6,108,24,2,0.889,12,0.01,1,ok,1 + x + x^2,x*y^2 + x^2*y^2 + x^3*y^2
